"","Location","year","SNAP","individual_homeless","fam_homeless","total_homeless","unemployment_rate","Male_poverty","Female_poverty","Total_poverty"
"273","New Jersey",2013,87.6266,0.6093,0.5909,1.2002,8.4,0.088,0.115,0.102
"274","New Jersey",2014,88.3434,0.6446,0.5225,1.1671,6.7,0.083,0.111,0.097
"275","New Jersey",2015,90.5728,0.6189,0.3909,1.0098,5.7,0.084,0.107,0.096
"276","New Jersey",2016,87.9987,0.554,0.3355,0.8895,4.9,0.084,0.107,0.096
"277","New Jersey",2017,81.7979,0.5433,0.3103,0.8536,4.5,0.073,0.1,0.087
"278","New Jersey",2018,76.0303,0.6048,0.335,0.9398,4,0.068,0.096,0.082
"279","New Jersey",2019,64.9128,0.5895,0.2967,0.8862,3.4,0.068,0.094,0.081
"280","New Mexico",2011,41.4275,0.2246,0.1355,0.3601,7.2,0.187,0.205,0.196
"281","New Mexico",2012,43.8252,0.2136,0.1109,0.3245,6.9,0.178,0.21,0.194
"282","New Mexico",2013,44.0362,0.1786,0.1033,0.2819,6.9,0.202,0.235,0.219
"283","New Mexico",2014,43.1494,0.1804,0.0942,0.2746,6.6,0.18,0.217,0.198
"284","New Mexico",2015,45.3146,0.1666,0.0963,0.2629,6.6,0.177,0.207,0.192
"285","New Mexico",2016,47.1247,0.1556,0.0707,0.2263,6.8,0.177,0.207,0.192
"286","New Mexico",2017,46.0534,0.1865,0.0617,0.2482,6,0.173,0.207,0.19
"287","New Mexico",2018,45.6251,0.1949,0.0602,0.2551,4.9,0.168,0.211,0.19
"288","New Mexico",2019,41.5161,0.2464,0.0777,0.3241,4.9,0.142,0.19,0.167
"289","New York",2011,299.9991,2.7338,3.6107,6.3445,8,0.124,0.162,0.144
"290","New York",2012,307.6911,3.0133,3.9433,6.9566,8.5,0.125,0.16,0.143
"291","New York",2013,317.0465,3.1235,4.6195,7.743,7.8,0.131,0.161,0.146
"292","New York",2014,312.2879,3.2643,4.7947,8.059,6.3,0.124,0.159,0.142
